                instructor_1        instructor_2        instructor_3        
student1        90.000000           100.000000          78.000000           
student2        68.000000           --                  48.000000           
Sagar           72.000000           --                  55.000000           
suden6          82.000000           74.000000           62.000000           
suden3          --                  65.500000           62.000000           
student3        --                  36.000000           78.000000           
student4        --                  55.000000           --                  
student444      --                  --                  50.000000           
student30       --                  --                  60.000000           
student40       --                  --                  40.000000           
